"Annual commercial landings and effort for Dive fisheries in the Pacific Region, by Pacific Fishery Management Area (PFMA) and Subarea.",,,,,,,,,
"All data available through 2025, by calendar year",,,,,,,,,
"Harvest log data from Dive Fisheries fisheries are made available as a whole season after the season ends; therefore, data from 2025-26 Season are not yet available.",,,,,,,,,
,Fishery,Last Date Available,,,,,,,
Geoduck and Horseclam,84C,2021,16,Total,7,7913,33432,,
Geoduck and Horseclam,84C,2021,17,5,1,1722,*,,
Geoduck and Horseclam,84C,2021,17,Total,1,1722,*,,
Geoduck and Horseclam,84C,2021,18,7,5,2286,10387,,
Geoduck and Horseclam,84C,2021,18,Total,5,2286,10387,,
Geoduck and Horseclam,84C,2021,19,5,4,1065,3014,,
Geoduck and Horseclam,84C,2021,19,Total,4,1065,3014,,
Geoduck and Horseclam,84C,2021,23,5,6,4742,23931,,
Geoduck and Horseclam,84C,2021,23,6,5,3710,19033,,
Geoduck and Horseclam,84C,2021,23,7,7,2382,11173,,
Geoduck and Horseclam,84C,2021,23,8,2,630,*,,
Geoduck and Horseclam,84C,2021,23,9,6,1553,**,,
Geoduck and Horseclam,84C,2021,23,10,8,12644,58455,,
Geoduck and Horseclam,84C,2021,23,Total,10,25661,122988,,
Geoduck and Horseclam,84C,2021,24,3,1,420,*,,
Geoduck and Horseclam,84C,2021,24,4,1,6,*,,
Geoduck and Horseclam,84C,2021,24,6,11,51673,192828,,
Geoduck and Horseclam,84C,2021,24,7,4,4429,15188,,
Geoduck and Horseclam,84C,2021,24,8,7,5522,30068,,
Geoduck and Horseclam,84C,2021,24,Total,11,62050,239465,,
Geoduck and Horseclam,84C,2021,26,6,6,8204,27152,,
Geoduck and Horseclam,84C,2021,26,Total,6,8204,27152,,
Geoduck and Horseclam,84C,2022,2,3,10,14086,70015,,
Geoduck and Horseclam,84C,2022,2,7,2,570,*,,
Geoduck and Horseclam,84C,2022,2,11,12,18404,99719,,
Geoduck and Horseclam,84C,2022,2,12,14,17082,108541,,
Geoduck and Horseclam,84C,2022,2,13,13,3773,24599,,
Geoduck and Horseclam,84C,2022,2,14,14,13888,89647,,
Geoduck and Horseclam,84C,2022,2,15,14,11273,87415,,
Geoduck and Horseclam,84C,2022,2,17,17,22591,145160,,
Geoduck and Horseclam,84C,2022,2,18,12,8875,56996,,
Geoduck and Horseclam,84C,2022,2,19,7,9104,68157,,
Geoduck and Horseclam,84C,2022,2,31,15,34480,223718,,
Geoduck and Horseclam,84C,2022,2,32,4,2592,19562,,
Geoduck and Horseclam,84C,2022,2,33,1,205,*,,
Geoduck and Horseclam,84C,2022,2,36,6,4731,40850,,
Geoduck and Horseclam,84C,2022,2,Total,18,161654,1040007,,
Geoduck and Horseclam,84C,2022,6,16,4,6256,**,,
Geoduck and Horseclam,84C,2022,6,17,2,440,*,,
Geoduck and Horseclam,84C,2022,6,Total,4,6696,42040,,
Geoduck and Horseclam,84C,2022,7,3,6,6868,41169,,
Geoduck and Horseclam,84C,2022,7,8,7,5260,31922,,
Geoduck and Horseclam,84C,2022,7,9,9,10920,61701,,
Geoduck and Horseclam,84C,2022,7,12,10,19380,99262,,
Geoduck and Horseclam,84C,2022,7,17,2,205,*,,
Geoduck and Horseclam,84C,2022,7,18,9,13365,67945,,
Geoduck and Horseclam,84C,2022,7,19,5,1087,3105,,
Geoduck and Horseclam,84C,2022,7,21,2,135,*,,
Geoduck and Horseclam,84C,2022,7,23,3,1141,6871,,
Geoduck and Horseclam,84C,2022,7,24,5,2180,11887,,
Geoduck and Horseclam,84C,2022,7,25,13,24476,153008,,
Geoduck and Horseclam,84C,2022,7,27,13,23055,137871,,
Geoduck and Horseclam,84C,2022,7,28,6,5651,45679,,
Geoduck and Horseclam,84C,2022,7,31,10,11212,46805,,
Geoduck and Horseclam,84C,2022,7,32,7,2672,8370,,
Geoduck and Horseclam,84C,2022,7,Total,18,127607,717882,,
Geoduck and Horseclam,84C,2022,8,2,7,24321,156610,,
Geoduck and Horseclam,84C,2022,8,4,7,6297,43779,,
Geoduck and Horseclam,84C,2022,8,Total,8,30618,200389,,
Geoduck and Horseclam,84C,2022,9,1,4,4132,**,,
Geoduck and Horseclam,84C,2022,9,2,1,20,*,,
Geoduck and Horseclam,84C,2022,9,Total,4,4152,19545,,
Geoduck and Horseclam,84C,2022,10,1,3,707,2771,,
Geoduck and Horseclam,84C,2022,10,3,3,590,2000,,
Geoduck and Horseclam,84C,2022,10,4,4,1077,4064,,
Geoduck and Horseclam,84C,2022,10,Total,5,2374,8835,,
Geoduck and Horseclam,84C,2022,12,11,4,8185,38331,,
Geoduck and Horseclam,84C,2022,12,12,2,595,*,,
Geoduck and Horseclam,84C,2022,12,15,4,7731,**,,
Geoduck and Horseclam,84C,2022,12,16,4,8890,43256,,
Geoduck and Horseclam,84C,2022,12,Total,4,25401,114553,,
Geoduck and Horseclam,84C,2022,14,7,3,1398,**,,
Geoduck and Horseclam,84C,2022,14,9,3,5605,23745,,
Geoduck and Horseclam,84C,2022,14,10,5,23831,111210,,
Geoduck and Horseclam,84C,2022,14,15,2,402,*,,
Geoduck and Horseclam,84C,2022,14,Total,5,31236,139486,,
Geoduck and Horseclam,84C,2022,16,2,5,5460,**,,
Geoduck and Horseclam,84C,2022,16,17,1,206,*,,
Geoduck and Horseclam,84C,2022,16,Total,5,5666,18625,,
Geoduck and Horseclam,84C,2022,17,5,2,1697,*,,
Geoduck and Horseclam,84C,2022,17,6,1,1750,*,,
Geoduck and Horseclam,84C,2022,17,8,1,395,*,,
Geoduck and Horseclam,84C,2022,17,10,3,1299,3698,,
Geoduck and Horseclam,84C,2022,17,16,5,8690,32331,,
Geoduck and Horseclam,84C,2022,17,17,2,789,*,,
Geoduck and Horseclam,84C,2022,17,18,1,13,*,,
Geoduck and Horseclam,84C,2022,17,19,1,117,*,,
Geoduck and Horseclam,84C,2022,17,Total,5,14750,55744,,
Geoduck and Horseclam,84C,2022,18,7,4,5263,25260,,
Geoduck and Horseclam,84C,2022,18,Total,4,5263,25260,,
Geoduck and Horseclam,84C,2022,19,5,3,1062,2387,,
Geoduck and Horseclam,84C,2022,19,Total,3,1062,2387,,
Geoduck and Horseclam,84C,2022,23,5,5,1146,5218,,
Geoduck and Horseclam,84C,2022,23,6,6,2314,11363,,
Geoduck and Horseclam,84C,2022,23,7,1,342,*,,
Geoduck and Horseclam,84C,2022,23,8,1,130,*,,
Geoduck and Horseclam,84C,2022,23,Total,6,3932,19887,,
Geoduck and Horseclam,84C,2022,24,6,11,64377,239100,,
Geoduck and Horseclam,84C,2022,24,7,10,21982,80153,,
Geoduck and Horseclam,84C,2022,24,8,7,4970,**,,
Geoduck and Horseclam,84C,2022,24,9,1,440,*,,
Geoduck and Horseclam,84C,2022,24,Total,11,91769,347147,,
Geoduck and Horseclam,84C,2022,26,1,1,75,*,,
Geoduck and Horseclam,84C,2022,26,6,2,8020,*,,
Geoduck and Horseclam,84C,2022,26,Total,2,8095,*,,
Geoduck and Horseclam,84C,2022,29,1,1,272,*,,
Geoduck and Horseclam,84C,2022,29,2,1,1010,*,,
Geoduck and Horseclam,84C,2022,29,5,3,2010,8701,,
Geoduck and Horseclam,84C,2022,29,Total,3,3292,13807,,
Geoduck and Horseclam,84C,2023,4,1,8,24445,172595,,
Geoduck and Horseclam,84C,2023,4,2,12,21047,128833,,
Geoduck and Horseclam,84C,2023,4,4,12,10574,76167,,
Geoduck and Horseclam,84C,2023,4,9,12,12679,71650,,
Geoduck and Horseclam,84C,2023,4,13,12,15686,102865,,
Geoduck and Horseclam,84C,2023,4,Total,18,84431,552110,,
Geoduck and Horseclam,84C,2023,5,10,5,1693,12581,,
Geoduck and Horseclam,84C,2023,5,11,1,441,*,,
Geoduck and Horseclam,84C,2023,5,12,6,6150,39044,,
Geoduck and Horseclam,84C,2023,5,16,6,3109,21039,,
Geoduck and Horseclam,84C,2023,5,17,9,12324,82568,,
Geoduck and Horseclam,84C,2023,5,19,2,1300,*,,
Geoduck and Horseclam,84C,2023,5,21,7,7617,51953,,
Geoduck and Horseclam,84C,2023,5,22,8,11227,97348,,
Geoduck and Horseclam,84C,2023,5,Total,20,43861,316420,,
Geoduck and Horseclam,84C,2023,6,5,3,718,**,,
Geoduck and Horseclam,84C,2023,6,9,14,34713,234967,,
Geoduck and Horseclam,84C,2023,6,10,12,17935,120499,,
Geoduck and Horseclam,84C,2023,6,11,11,10036,59036,,
Geoduck and Horseclam,84C,2023,6,12,6,2460,16410,,
Geoduck and Horseclam,84C,2023,6,13,21,76219,473529,,
Geoduck and Horseclam,84C,2023,6,14,19,11242,63601,,
Geoduck and Horseclam,84C,2023,6,15,6,1147,6699,,
Geoduck and Horseclam,84C,2023,6,16,8,4362,22812,,
Geoduck and Horseclam,84C,2023,6,17,2,1381,*,,
Geoduck and Horseclam,84C,2023,6,18,13,28037,169525,,
Geoduck and Horseclam,84C,2023,6,19,12,21049,117969,,
Geoduck and Horseclam,84C,2023,6,Total,22,209299,1300032,,
Geoduck and Horseclam,84C,2023,7,3,8,3630,15521,,
Geoduck and Horseclam,84C,2023,7,4,7,3072,18530,,
Geoduck and Horseclam,84C,2023,7,Total,8,6702,34051,,
Geoduck and Horseclam,84C,2023,12,8,2,5138,*,,
Geoduck and Horseclam,84C,2023,12,16,4,7425,41446,,
Geoduck and Horseclam,84C,2023,12,17,2,970,*,,
Geoduck and Horseclam,84C,2023,12,Total,4,13533,66974,,
Geoduck and Horseclam,84C,2023,14,1,3,2001,**,,
Geoduck and Horseclam,84C,2023,14,3,2,493,*,,
Geoduck and Horseclam,84C,2023,14,4,4,6652,22141,,
Geoduck and Horseclam,84C,2023,14,5,5,35485,104554,,
Geoduck and Horseclam,84C,2023,14,8,3,2349,8295,,
Geoduck and Horseclam,84C,2023,14,Total,5,46980,145243,,
Geoduck and Horseclam,84C,2023,16,2,4,3322,15298,,
Geoduck and Horseclam,84C,2023,16,19,4,4400,16580,,
Geoduck and Horseclam,84C,2023,16,20,4,4158,19598,,
Geoduck and Horseclam,84C,2023,16,21,5,12653,51025,,
Geoduck and Horseclam,84C,2023,16,Total,5,24533,102501,,
Geoduck and Horseclam,84C,2023,17,5,1,1316,*,,
Geoduck and Horseclam,84C,2023,17,18,1,158,*,,
Geoduck and Horseclam,84C,2023,17,19,1,45,*,,
Geoduck and Horseclam,84C,2023,17,20,1,105,*,,
Geoduck and Horseclam,84C,2023,17,Total,2,1624,*,,
Geoduck and Horseclam,84C,2023,18,7,4,841,4528,,
Geoduck and Horseclam,84C,2023,18,Total,4,841,4528,,
Geoduck and Horseclam,84C,2023,19,5,3,1934,6003,,
Geoduck and Horseclam,84C,2023,19,Total,3,1934,6003,,
Geoduck and Horseclam,84C,2023,23,5,2,414,*,,
Geoduck and Horseclam,84C,2023,23,6,5,2445,11107,,
Geoduck and Horseclam,84C,2023,23,7,2,925,*,,
Geoduck and Horseclam,84C,2023,23,10,9,9481,35380,,
Geoduck and Horseclam,84C,2023,23,Total,9,13265,53042,,
Geoduck and Horseclam,84C,2023,24,2,2,1075,*,,
Geoduck and Horseclam,84C,2023,24,3,1,545,*,,
Geoduck and Horseclam,84C,2023,24,6,10,102339,379300,,
Geoduck and Horseclam,84C,2023,24,7,6,9298,32897,,
Geoduck and Horseclam,84C,2023,24,8,6,5990,28446,,
Geoduck and Horseclam,84C,2023,24,9,1,1400,*,,
Geoduck and Horseclam,84C,2023,24,Total,10,120647,451150,,
Geoduck and Horseclam,84C,2023,26,6,3,2488,7643,,
Geoduck and Horseclam,84C,2023,26,Total,3,2488,7643,,
Geoduck and Horseclam,84C,2023,29,5,1,1154,*,,
Geoduck and Horseclam,84C,2023,29,Total,1,1154,*,,
Geoduck and Horseclam,84C,2023,106,2,12,17173,117670,,
Geoduck and Horseclam,84C,2023,106,Total,12,17173,117670,,
Geoduck and Horseclam,84C,2024,2,3,12,23691,133835,,
Geoduck and Horseclam,84C,2024,2,6,11,4796,24450,,
Geoduck and Horseclam,84C,2024,2,7,10,11118,71935,,
Geoduck and Horseclam,84C,2024,2,8,13,12756,67241,,
Geoduck and Horseclam,84C,2024,2,9,6,1826,**,,
Geoduck and Horseclam,84C,2024,2,11,12,18240,99011,,
Geoduck and Horseclam,84C,2024,2,12,12,19006,119084,,
Geoduck and Horseclam,84C,2024,2,13,4,2957,21354,,
Geoduck and Horseclam,84C,2024,2,49,6,3751,20337,,
Geoduck and Horseclam,84C,2024,2,50,8,2892,16716,,
Geoduck and Horseclam,84C,2024,2,53,8,6211,31803,,
Geoduck and Horseclam,84C,2024,2,55,5,4052,21094,,
Geoduck and Horseclam,84C,2024,2,58,1,140,*,,
Geoduck and Horseclam,84C,2024,2,70,9,8749,40493,,
Geoduck and Horseclam,84C,2024,2,71,9,4089,18426,,
Geoduck and Horseclam,84C,2024,2,75,4,3254,15140,,
Geoduck and Horseclam,84C,2024,2,76,5,3675,16988,,
Geoduck and Horseclam,84C,2024,2,87,8,14467,71143,,
Geoduck and Horseclam,84C,2024,2,Total,17,145670,801494,,
Geoduck and Horseclam,84C,2024,4,2,15,16475,112138,,
Geoduck and Horseclam,84C,2024,4,3,6,5857,42918,,
Geoduck and Horseclam,84C,2024,4,4,6,1368,9873,,
Geoduck and Horseclam,84C,2024,4,9,11,10830,63310,,
Geoduck and Horseclam,84C,2024,4,13,10,16998,112491,,
Geoduck and Horseclam,84C,2024,4,Total,15,51528,340730,,
Geoduck and Horseclam,84C,2024,5,10,12,6174,29300,,
Geoduck and Horseclam,84C,2024,5,11,7,3210,17586,,
Geoduck and Horseclam,84C,2024,5,13,10,12601,65605,,
Geoduck and Horseclam,84C,2024,5,20,16,66754,416842,,
Geoduck and Horseclam,84C,2024,5,Total,16,88739,529333,,
Geoduck and Horseclam,84C,2024,12,6,1,958,*,,
Geoduck and Horseclam,84C,2024,12,16,2,1043,*,,
Geoduck and Horseclam,84C,2024,12,Total,2,2001,*,,
Geoduck and Horseclam,84C,2024,13,1,2,560,*,,
Geoduck and Horseclam,84C,2024,13,13,2,1130,*,,
Geoduck and Horseclam,84C,2024,13,14,4,2242,9202,,
Geoduck and Horseclam,84C,2024,13,15,6,8299,34965,,
Geoduck and Horseclam,84C,2024,13,16,2,575,*,,
Geoduck and Horseclam,84C,2024,13,Total,6,12806,52285,,
Geoduck and Horseclam,84C,2024,14,7,4,4585,**,,
Geoduck and Horseclam,84C,2024,14,9,2,4241,*,,
Geoduck and Horseclam,84C,2024,14,11,5,14442,64951,,
Geoduck and Horseclam,84C,2024,14,13,5,16160,69187,,
Geoduck and Horseclam,84C,2024,14,Total,5,39428,181499,,
Geoduck and Horseclam,84C,2024,15,1,4,2580,11048,,
Geoduck and Horseclam,84C,2024,15,2,5,9428,33768,,
Geoduck and Horseclam,84C,2024,15,3,4,4108,13800,,
Geoduck and Horseclam,84C,2024,15,Total,5,16116,58616,,
Geoduck and Horseclam,84C,2024,16,2,5,3849,**,,
Geoduck and Horseclam,84C,2024,16,22,1,840,*,,
Geoduck and Horseclam,84C,2024,16,Total,5,4689,19253,,
Geoduck and Horseclam,84C,2024,17,5,1,1368,*,,
Geoduck and Horseclam,84C,2024,17,Total,1,1368,*,,
Geoduck and Horseclam,84C,2024,18,7,3,769,4363,,
Geoduck and Horseclam,84C,2024,18,Total,3,769,4363,,
Geoduck and Horseclam,84C,2024,19,5,2,579,*,,
Geoduck and Horseclam,84C,2024,19,Total,2,579,*,,
Geoduck and Horseclam,84C,2024,23,6,4,3059,15439,,
Geoduck and Horseclam,84C,2024,23,7,1,645,*,,
Geoduck and Horseclam,84C,2024,23,8,1,985,*,,
Geoduck and Horseclam,84C,2024,23,10,7,5905,24242,,
Geoduck and Horseclam,84C,2024,23,Total,8,10594,47312,,
Geoduck and Horseclam,84C,2024,24,2,6,2505,8668,,
Geoduck and Horseclam,84C,2024,24,3,2,775,*,,
Geoduck and Horseclam,84C,2024,24,6,9,55421,224005,,
Geoduck and Horseclam,84C,2024,24,7,6,5793,19049,,
Geoduck and Horseclam,84C,2024,24,8,3,1692,5661,,
Geoduck and Horseclam,84C,2024,24,9,2,6201,*,,
Geoduck and Horseclam,84C,2024,24,Total,9,72387,282018,,
Geoduck and Horseclam,84C,2025,2,11,3,705,4035,,
Geoduck and Horseclam,84C,2025,2,12,9,2908,18016,,
Geoduck and Horseclam,84C,2025,2,13,2,369,*,,
Geoduck and Horseclam,84C,2025,2,14,13,13997,83548,,
Geoduck and Horseclam,84C,2025,2,15,13,10801,73766,,
Geoduck and Horseclam,84C,2025,2,17,18,23971,160943,,
Geoduck and Horseclam,84C,2025,2,18,15,26416,168525,,
Geoduck and Horseclam,84C,2025,2,19,13,10419,66838,,
Geoduck and Horseclam,84C,2025,2,31,16,30555,182322,,
Geoduck and Horseclam,84C,2025,2,32,5,4360,30240,,
Geoduck and Horseclam,84C,2025,2,33,3,494,**,,
Geoduck and Horseclam,84C,2025,2,36,10,5069,37247,,
Geoduck and Horseclam,84C,2025,2,Total,19,130064,829822,,
Geoduck and Horseclam,84C,2025,3,1,11,18869,126901,,
Geoduck and Horseclam,84C,2025,3,Total,11,18869,126901,,
Geoduck and Horseclam,84C,2025,4,1,12,21777,**,,
Geoduck and Horseclam,84C,2025,4,5,2,685,*,,
Geoduck and Horseclam,84C,2025,4,Total,12,22462,166285,,
Geoduck and Horseclam,84C,2025,23,5,7,5776,25679,,
Geoduck and Horseclam,84C,2025,23,Total,7,5776,25679,,
Geoduck and Horseclam,84C,2025,24,6,3,760,1747,,
Geoduck and Horseclam,84C,2025,24,7,4,3520,8181,,
Geoduck and Horseclam,84C,2025,24,Total,5,4280,9928,,
Geoduck and Horseclam,84C,2025,26,1,1,120,*,,
Geoduck and Horseclam,84C,2025,26,6,5,1055,**,,
Geoduck and Horseclam,84C,2025,26,Total,6,1175,3268,,
Green Urchin,6BB,1986,13,12,1,480,*,,
Green Urchin,6BB,1986,13,Total,1,480,*,,
Green Urchin,6BB,1986,15,0,1,0,*,,
Green Urchin,6BB,1986,15,Total,1,0,*,,
Green Urchin,6BB,1986,16,0,1,0,*,,
Green Urchin,6BB,1986,16,Total,1,0,*,,
Green Urchin,6BB,1987,12,3,1,540,*,,
Green Urchin,6BB,1987,12,6,1,180,*,,
Green Urchin,6BB,1987,12,Total,1,720,*,,
Green Urchin,6BB,1987,13,0,1,1200,*,,
Green Urchin,6BB,1987,13,1,2,2390,*,,
Green Urchin,6BB,1987,13,2,5,9800,110104,,
Green Urchin,6BB,1987,13,3,1,2595,*,,
Green Urchin,6BB,1987,13,11,1,40,*,,
Green Urchin,6BB,1987,13,12,1,190,*,,
Green Urchin,6BB,1987,13,17,1,285,*,,
Green Urchin,6BB,1987,13,18,1,165,*,,
Green Urchin,6BB,1987,13,Total,7,16665,155634,,
Green Urchin,6BB,1987,15,1,1,330,*,,
Green Urchin,6BB,1987,15,Total,1,330,*,,
Green Urchin,6BB,1987,16,5,1,1676,*,,
Green Urchin,6BB,1987,16,Total,1,1676,*,,
Green Urchin,6BB,1987,18,6,1,3713,*,,
Green Urchin,6BB,1987,18,Total,1,3713,*,,
Green Urchin,6BB,1987,19,2,1,255,*,,
Green Urchin,6BB,1987,19,3,1,1900,*,,
Green Urchin,6BB,1987,19,4,3,540,19910,,
Green Urchin,6BB,1987,19,5,8,11330,53268,,
Green Urchin,6BB,1987,19,6,1,680,*,,
Green Urchin,6BB,1987,19,Total,12,14705,80360,,
Green Urchin,6BB,1987,20,0,1,0,*,,
Green Urchin,6BB,1987,20,Total,1,0,*,,
Green Urchin,6BB,1987,28,1,1,3515,*,,
Green Urchin,6BB,1987,28,Total,1,3515,*,,
Green Urchin,6BB,1988,11,0,1,0,*,,
Green Urchin,6BB,1988,11,Total,1,0,*,,
Green Urchin,6BB,1988,12,0,2,480,*,,
Green Urchin,6BB,1988,12,3,1,800,*,,
Green Urchin,6BB,1988,12,4,3,3490,11492,,
Green Urchin,6BB,1988,12,5,4,3095,10021,,
Green Urchin,6BB,1988,12,6,5,4975,18357,,
Green Urchin,6BB,1988,12,7,1,130,*,,
Green Urchin,6BB,1988,12,8,1,420,*,,
Green Urchin,6BB,1988,12,9,1,620,*,,
Green Urchin,6BB,1988,12,11,2,0,*,,
Green Urchin,6BB,1988,12,16,1,0,*,,
Green Urchin,6BB,1988,12,18,7,3670,20924,,
Green Urchin,6BB,1988,12,20,1,200,*,,
Green Urchin,6BB,1988,12,Total,20,17880,87759,,
Green Urchin,6BB,1988,13,0,2,0,*,,
Green Urchin,6BB,1988,13,1,7,12363,88689,,
Green Urchin,6BB,1988,13,2,8,8730,62595,,
Green Urchin,6BB,1988,13,3,2,1250,*,,
Green Urchin,6BB,1988,13,10,2,1100,*,,
Green Urchin,6BB,1988,13,12,2,3584,*,,
Green Urchin,6BB,1988,13,14,2,440,*,,
Green Urchin,6BB,1988,13,16,1,700,*,,
Green Urchin,6BB,1988,13,17,1,0,*,,
Green Urchin,6BB,1988,13,18,1,1715,*,,
Green Urchin,6BB,1988,13,23,1,155,*,,
Green Urchin,6BB,1988,13,25,1,5695,*,,
Green Urchin,6BB,1988,13,28,1,60,*,,
Green Urchin,6BB,1988,13,29,1,315,*,,
Green Urchin,6BB,1988,13,31,1,200,*,,
Green Urchin,6BB,1988,13,32,7,5845,73204,,
Green Urchin,6BB,1988,13,33,7,6420,25908,,
Green Urchin,6BB,1988,13,34,2,1090,*,,
Green Urchin,6BB,1988,13,35,2,200,*,,
Green Urchin,6BB,1988,13,39,1,1580,*,,
Green Urchin,6BB,1988,13,41,1,1135,*,,
Green Urchin,6BB,1988,13,Total,30,52577,373218,,
Green Urchin,6BB,1988,17,0,1,360,*,,
Green Urchin,6BB,1988,17,3,1,980,*,,
Green Urchin,6BB,1988,17,13,1,600,*,,
Green Urchin,6BB,1988,17,Total,1,1940,*,,
Green Urchin,6BB,1988,18,0,3,770,6100,,
Green Urchin,6BB,1988,18,1,2,7395,*,,
Green Urchin,6BB,1988,18,2,4,1500,10653,,
Green Urchin,6BB,1988,18,5,4,11160,43011,,
Green Urchin,6BB,1988,18,6,2,3700,*,,
Green Urchin,6BB,1988,18,9,1,1300,*,,
Green Urchin,6BB,1988,18,11,6,4845,31868,,
Green Urchin,6BB,1988,18,Total,15,30670,138607,,
Green Urchin,6BB,1988,19,0,2,1700,*,,
Green Urchin,6BB,1988,19,3,2,540,*,,
Green Urchin,6BB,1988,19,4,4,4690,30683,,
Green Urchin,6BB,1988,19,5,10,26544,85301,,
Green Urchin,6BB,1988,19,6,1,135,*,,
Green Urchin,6BB,1988,19,Total,16,33609,154698,,
Green Urchin,6BB,1988,20,5,4,2015,7173,,
Green Urchin,6BB,1988,20,Total,4,2015,7173,,
Green Urchin,6BB,1988,26,6,1,550,*,,
Green Urchin,6BB,1988,26,Total,1,550,*,,
Green Urchin,6BB,1988,28,1,2,4010,*,,
Green Urchin,6BB,1988,28,2,1,360,*,,
Green Urchin,6BB,1988,28,Total,2,4370,*,,
Green Urchin,6BB,1988,29,1,1,520,*,,
Green Urchin,6BB,1988,29,2,2,2045,*,,
Green Urchin,6BB,1988,29,4,1,2520,*,,
Green Urchin,6BB,1988,29,5,3,3730,11858,,
Green Urchin,6BB,1988,29,Total,6,8815,31532,,
Green Urchin,6BB,1989,0,0,1,10675,*,,
Green Urchin,6BB,1989,0,Total,1,10675,*,,
Green Urchin,6BB,1989,1,6,1,2185,*,,
Green Urchin,6BB,1989,1,Total,1,2185,*,,
Green Urchin,6BB,1989,7,4,1,240,*,,
Green Urchin,6BB,1989,7,Total,1,240,*,,
Green Urchin,6BB,1989,12,0,4,983,10660,,
Green Urchin,6BB,1989,12,1,6,9732,37919,,
Green Urchin,6BB,1989,12,2,1,460,*,,
Green Urchin,6BB,1989,12,3,6,4215,20629,,
Green Urchin,6BB,1989,12,4,2,3305,*,,
Green Urchin,6BB,1989,12,5,18,8280,40026,,
Green Urchin,6BB,1989,12,6,12,15700,69016,,
Green Urchin,6BB,1989,12,7,2,677,*,,
Green Urchin,6BB,1989,12,8,3,1185,4610,,
Green Urchin,6BB,1989,12,9,1,65,*,,
Green Urchin,6BB,1989,12,10,1,180,*,,
Green Urchin,6BB,1989,12,12,2,150,*,,
Green Urchin,6BB,1989,12,13,4,1730,12058,,
Green Urchin,6BB,1989,12,16,1,20,*,,
Green Urchin,6BB,1989,12,18,13,5512,37739,,
Green Urchin,6BB,1989,12,19,4,2207,14965,,
Green Urchin,6BB,1989,12,20,4,1220,7323,,
Green Urchin,6BB,1989,12,22,2,2801,*,,
Green Urchin,6BB,1989,12,25,1,60,*,,
Green Urchin,6BB,1989,12,26,5,3375,19706,,
Green Urchin,6BB,1989,12,39,2,3475,*,,
Green Urchin,6BB,1989,12,41,4,1030,4399,,
Green Urchin,6BB,1989,12,Total,53,66362,331716,,
Green Urchin,6BB,1989,13,0,4,1820,11001,,
Green Urchin,6BB,1989,13,1,9,6787,25359,,
Green Urchin,6BB,1989,13,2,6,1660,4273,,
Green Urchin,6BB,1989,13,3,1,189,*,,
Green Urchin,6BB,1989,13,9,4,1580,4853,,
Green Urchin,6BB,1989,13,10,4,1470,9110,,
Green Urchin,6BB,1989,13,11,1,100,*,,
Green Urchin,6BB,1989,13,12,7,3795,13819,,
Green Urchin,6BB,1989,13,15,1,400,*,,
Green Urchin,6BB,1989,13,17,1,353,*,,
Green Urchin,6BB,1989,13,18,3,2210,5492,,
Green Urchin,6BB,1989,13,23,2,860,*,,
Green Urchin,6BB,1989,13,25,7,9691,32872,,
Green Urchin,6BB,1989,13,26,1,240,*,,
Green Urchin,6BB,1989,13,28,7,2690,8788,,
Green Urchin,6BB,1989,13,31,2,950,*,,
Green Urchin,6BB,1989,13,32,7,6259,54635,,
Green Urchin,6BB,1989,13,33,5,2832,26607,,
Green Urchin,6BB,1989,13,35,3,2105,9120,,
Green Urchin,6BB,1989,13,36,1,340,*,,
Green Urchin,6BB,1989,13,39,1,0,*,,
Green Urchin,6BB,1989,13,41,1,290,*,,
Green Urchin,6BB,1989,13,Total,41,46621,221883,,
Green Urchin,6BB,1989,15,5,1,55,*,,
Green Urchin,6BB,1989,15,Total,1,55,*,,
Green Urchin,6BB,1989,16,20,1,205,*,,
Green Urchin,6BB,1989,16,21,1,935,*,,
Green Urchin,6BB,1989,16,Total,1,1140,*,,
Green Urchin,6BB,1989,17,0,1,0,*,,
Green Urchin,6BB,1989,17,3,2,555,*,,
Green Urchin,6BB,1989,17,17,1,0,*,,
Green Urchin,6BB,1989,17,Total,4,555,14607,,
Green Urchin,6BB,1989,18,0,1,4320,*,,
Green Urchin,6BB,1989,18,1,2,3386,*,,
Green Urchin,6BB,1989,18,2,4,14348,70329,,
Green Urchin,6BB,1989,18,4,1,660,*,,
Green Urchin,6BB,1989,18,5,5,4580,15627,,
Green Urchin,6BB,1989,18,6,2,300,*,,
Green Urchin,6BB,1989,18,9,1,330,*,,
Green Urchin,6BB,1989,18,11,5,6535,46469,,
Green Urchin,6BB,1989,18,Total,12,34459,196205,,
Green Urchin,6BB,1989,19,0,1,1080,*,,
Green Urchin,6BB,1989,19,2,1,30,*,,
Green Urchin,6BB,1989,19,5,6,4304,30209,,
Green Urchin,6BB,1989,19,6,3,2180,4236,,
Green Urchin,6BB,1989,19,Total,11,7594,40323,,
Green Urchin,6BB,1989,20,0,1,60,*,,
Green Urchin,6BB,1989,20,5,2,60,*,,
Green Urchin,6BB,1989,20,Total,3,120,4722,,
Green Urchin,6BB,1989,24,6,1,50,*,,
Green Urchin,6BB,1989,24,7,1,0,*,,
Green Urchin,6BB,1989,24,Total,2,50,*,,
Green Urchin,6BB,1989,27,9,1,2010,*,,
Green Urchin,6BB,1989,27,Total,1,2010,*,,
Green Urchin,6BB,1989,28,0,1,0,*,,
Green Urchin,6BB,1989,28,1,2,1684,*,,
